"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","individualCount","occurrenceStatus","lifeStage","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetID","datasetName","samplingProtocol","nucleotideSequence","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","informationWithheld","nomenclaturalCode","http...unknown.org.crawl_attempt","http...unknown.org.status","municipality","identificationVerificationStatus","language","collectionCode","gbifID","occurrenceID","type","taxonID","vernacularName","institutionCode","accessRights","name","recordedBy","catalogNumber","http...unknown.org.declaredCount","locality","dateIdentified","gadm","modified","identifiedBy","http...unknown.org.nick","verbatimEventDate","verbatimLocality","http...unknown.org.captive_cultivated","eventTime","identificationID","dynamicProperties","sex","http...unknown.org.griddedDataset","organismQuantity","eventID","county","nomenclaturalStatus","verbatimSRS","parentNameUsageID","http...unknown.org.omitFromScheduledCrawl","locationID","acceptedNameUsageID","ownerInstitutionCode","higherClassification","bibliographicCitation","dataGeneralizations","footprintWKT","eventRemarks","verbatimIdentification","footprintSRS","taxonConceptID","occurrenceRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","projectId","vitality","distanceFromCentroidInMeters","habitat","behavior","identificationRemarks"
"5937754544","Ceratitis capitata (Wiedemann, 1824)",51.00521,3.7913,"osiic","9a0b66df-7535-4f28-9f4e-5bc11b8b096c","4d3ceea8-5699-439d-a899-decac9cbbdac","b153643d-735a-440f-a0e9-428b4f9d1cd2","9f25fd85-85dc-4dcd-a1b4-b31165442e2b","1cd669d0-80ea-11de-a9d0-f1765f95f18b","BE","EML","2026-06-10T12:04:08.876+00:00","2026-06-10T12:11:07.922+00:00",495,"HUMAN_OBSERVATION",1,"PRESENT","Adult",1626096,1,54,216,811,3520,8776023,1626096,1626096,"Ceratitis capitata (Wiedemann, 1824)","Animalia","Arthropoda","Diptera","Tephritidae","Ceratitis","Ceratitis capitata","Ceratitis","capitata","SPECIES","ACCEPTED",10,"EUROPE","East Flanders",2026,1,3,"2026-01-03",3,3,"2026-06-10T12:11:07.922+00:00","https://waarnemingen.be/observation/383428880","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"Natuurpunt:Waarnemingen:383428880","none","none",FALSE,"https://doi.org/10.15468/k2aiak","Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium","casual observation","none","WGS84","Insecta","BE","none","none","EUROPE","Belgium","EUROPE","Natuurpunt Studie","Natuurpunt:Waarnemingen:383428880","see metadata","ICZN","495","not_reviewed","Melle","approved on photographic evidence","en","waarnemingen.be","5937754544","Natuurpunt:Waarnemingen:383428880","Event","https://waarnemingen.be/species/27248","Middellandse Zeeboorvlieg","Natuurpunt","http://www.natuurpunt.be/normen-voor-datagebruik","Ceratitis capitata (Wiedemann, 1824)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5937754706","Ceratitis capitata (Wiedemann, 1824)",50.87458,4.34185,"osiic","9a0b66df-7535-4f28-9f4e-5bc11b8b096c","4d3ceea8-5699-439d-a899-decac9cbbdac","b153643d-735a-440f-a0e9-428b4f9d1cd2","9f25fd85-85dc-4dcd-a1b4-b31165442e2b","1cd669d0-80ea-11de-a9d0-f1765f95f18b","BE","EML","2026-06-10T12:04:08.876+00:00","2026-06-10T12:11:10.648+00:00",495,"HUMAN_OBSERVATION",1,"PRESENT","Adult",1626096,1,54,216,811,3520,8776023,1626096,1626096,"Ceratitis capitata (Wiedemann, 1824)","Animalia","Arthropoda","Diptera","Tephritidae","Ceratitis","Ceratitis capitata","Ceratitis","capitata","SPECIES","ACCEPTED",15,"EUROPE","Brussels Capital Region",2026,1,2,"2026-01-02",2,2,"2026-06-10T12:11:10.648+00:00","https://waarnemingen.be/observation/383419142","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"Natuurpunt:Waarnemingen:383419142","none","none",FALSE,"https://doi.org/10.15468/k2aiak","Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium","casual observation","none","WGS84","Insecta","BE","none","none","EUROPE","Belgium","EUROPE","Natuurpunt Studie","Natuurpunt:Waarnemingen:383419142","see metadata","ICZN","495","not_reviewed","Brussel / Bruxelles","approved on photographic evidence","en","waarnemingen.be","5937754706","Natuurpunt:Waarnemingen:383419142","Event","https://waarnemingen.be/species/27248","Middellandse Zeeboorvlieg","Natuurpunt","http://www.natuurpunt.be/normen-voor-datagebruik","Ceratitis capitata (Wiedemann, 1824)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5937754864","Ceratitis capitata (Wiedemann, 1824)",51.06855,3.68529,"osiic","9a0b66df-7535-4f28-9f4e-5bc11b8b096c","4d3ceea8-5699-439d-a899-decac9cbbdac","b153643d-735a-440f-a0e9-428b4f9d1cd2","9f25fd85-85dc-4dcd-a1b4-b31165442e2b","1cd669d0-80ea-11de-a9d0-f1765f95f18b","BE","EML","2026-06-10T12:04:08.876+00:00","2026-06-10T12:11:05.104+00:00",495,"HUMAN_OBSERVATION",1,"PRESENT","Adult",1626096,1,54,216,811,3520,8776023,1626096,1626096,"Ceratitis capitata (Wiedemann, 1824)","Animalia","Arthropoda","Diptera","Tephritidae","Ceratitis","Ceratitis capitata","Ceratitis","capitata","SPECIES","ACCEPTED",13,"EUROPE","East Flanders",2026,1,3,"2026-01-03",3,3,"2026-06-10T12:11:05.104+00:00","https://waarnemingen.be/observation/383441134","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"Natuurpunt:Waarnemingen:383441134","none","none",FALSE,"https://doi.org/10.15468/k2aiak","Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium","casual observation","none","WGS84","Insecta","BE","none","none","EUROPE","Belgium","EUROPE","Natuurpunt Studie","Natuurpunt:Waarnemingen:383441134","see metadata","ICZN","495","not_reviewed","Gent","approved on photographic evidence","en","waarnemingen.be","5937754864","Natuurpunt:Waarnemingen:383441134","Event","https://waarnemingen.be/species/27248","Middellandse Zeeboorvlieg","Natuurpunt","http://www.natuurpunt.be/normen-voor-datagebruik","Ceratitis capitata (Wiedemann, 1824)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5937754933","Ceratitis capitata (Wiedemann, 1824)",51.37624,4.47807,"osiic","9a0b66df-7535-4f28-9f4e-5bc11b8b096c","4d3ceea8-5699-439d-a899-decac9cbbdac","b153643d-735a-440f-a0e9-428b4f9d1cd2","9f25fd85-85dc-4dcd-a1b4-b31165442e2b","1cd669d0-80ea-11de-a9d0-f1765f95f18b","BE","EML","2026-06-10T12:04:08.876+00:00","2026-06-10T12:11:18.921+00:00",495,"HUMAN_OBSERVATION",1,"PRESENT","Adult",1626096,1,54,216,811,3520,8776023,1626096,1626096,"Ceratitis capitata (Wiedemann, 1824)","Animalia","Arthropoda","Diptera","Tephritidae","Ceratitis","Ceratitis capitata","Ceratitis","capitata","SPECIES","ACCEPTED",999,"EUROPE","Antwerp",2026,1,3,"2026-01-03",3,3,"2026-06-10T12:11:18.921+00:00","https://waarnemingen.be/observation/383431722","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"Natuurpunt:Waarnemingen:383431722","none","none",FALSE,"https://doi.org/10.15468/k2aiak","Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium","casual observation","none","WGS84","Insecta","BE","none","none","EUROPE","Belgium","EUROPE","Natuurpunt Studie","Natuurpunt:Waarnemingen:383431722","see metadata","ICZN","495","not_reviewed","Kalmthout","approved on photographic evidence","en","waarnemingen.be","5937754933","Natuurpunt:Waarnemingen:383431722","Event","https://waarnemingen.be/species/27248","Middellandse Zeeboorvlieg","Natuurpunt","http://www.natuurpunt.be/normen-voor-datagebruik","Ceratitis capitata (Wiedemann, 1824)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5937755267","Ceratitis capitata (Wiedemann, 1824)",51.06858,3.68533,"osiic","9a0b66df-7535-4f28-9f4e-5bc11b8b096c","4d3ceea8-5699-439d-a899-decac9cbbdac","b153643d-735a-440f-a0e9-428b4f9d1cd2","9f25fd85-85dc-4dcd-a1b4-b31165442e2b","1cd669d0-80ea-11de-a9d0-f1765f95f18b","BE","EML","2026-06-10T12:04:08.876+00:00","2026-06-10T12:11:12.768+00:00",495,"HUMAN_OBSERVATION",1,"PRESENT","Adult",1626096,1,54,216,811,3520,8776023,1626096,1626096,"Ceratitis capitata (Wiedemann, 1824)","Animalia","Arthropoda","Diptera","Tephritidae","Ceratitis","Ceratitis capitata","Ceratitis","capitata","SPECIES","ACCEPTED",999,"EUROPE","East Flanders",2026,1,3,"2026-01-03",3,3,"2026-06-10T12:11:12.768+00:00","https://waarnemingen.be/observation/383441039","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"Natuurpunt:Waarnemingen:383441039","none","none",FALSE,"https://doi.org/10.15468/k2aiak","Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium","casual observation","none","WGS84","Insecta","BE","none","none","EUROPE","Belgium","EUROPE","Natuurpunt Studie","Natuurpunt:Waarnemingen:383441039","see metadata","ICZN","495","not_reviewed","Gent","approved on photographic evidence","en","waarnemingen.be","5937755267","Natuurpunt:Waarnemingen:383441039","Event","https://waarnemingen.be/species/27248","Middellandse Zeeboorvlieg","Natuurpunt","http://www.natuurpunt.be/normen-voor-datagebruik","Ceratitis capitata (Wiedemann, 1824)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5937979432","Ceratitis capitata (Wiedemann, 1824)",52.509663,13.416049,"cdc,cdround,gass84","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9",NA,"36cae45c-1983-48be-9cf9-0672c4a60612","bb646dff-a905-4403-a49b-6d378c2cf0d9","DE","BIOCASE","2026-06-04T10:47:44.051+00:00","2026-06-04T11:59:03.806+00:00",426,"HUMAN_OBSERVATION",NA,"PRESENT",NA,1626096,1,54,216,811,3520,8776023,1626096,1626096,"Ceratitis capitata (Wiedemann, 1824)","Animalia","Arthropoda","Diptera","Tephritidae","Ceratitis","Ceratitis capitata","Ceratitis","capitata","SPECIES","ACCEPTED",25,"EUROPE",NA,2026,1,4,"2026-01-04T00:00",4,4,"2026-06-04T11:59:03.806+00:00","https://enjoynature.net/?gebiet=708918846&datum=04.01.26&art=1057100927","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"urn:catalog:NABU|naturgucker:NABU|naturgucker:-151156113","none","none",FALSE,NA,NA,NA,"none","WGS84","Insecta","DE","none","none","EUROPE","Germany","EUROPE",NA,NA,NA,NA,"426","not_reviewed",NA,NA,NA,"NABU|naturgucker","5937979432",NA,NA,NA,NA,"NABU|naturgucker",NA,"Ceratitis capitata (Wiedemann, 1824)","-619538877","-151156113","22509108","TK25 Blatt 3446/4 - Berlin / Mitte / Prenzlauer Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5938146170","Ceratitis capitata (Wiedemann, 1824)",-38.690908,-62.279576,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d",NA,"997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2026-06-05T18:15:48.952+00:00","2026-06-06T03:43:35.541+00:00",595,"HUMAN_OBSERVATION",NA,"PRESENT",NA,1626096,1,54,216,811,3520,8776023,1626096,1626096,"Ceratitis capitata (Wiedemann, 1824)","Animalia","Arthropoda","Diptera","Tephritidae","Ceratitis","Ceratitis capitata","Ceratitis","capitata","SPECIES","ACCEPTED",28210,"SOUTH_AMERICA","Buenos Aires",2026,1,5,"2026-01-05T11:38",5,5,"2026-06-06T03:43:35.541+00:00","https://www.inaturalist.org/observations/333590315","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"333590315","none","none",FALSE,NA,"iNaturalist research-grade observations",NA,"none","WGS84","Insecta","AR","none","none","LATIN_AMERICA","Argentina","NORTH_AMERICA","Maite Etchevarne","333590315","Coordinate uncertainty increased to 28210m at the request of the observer",NA,"595","not_reviewed",NA,NA,NA,"Observations","5938146170","https://www.inaturalist.org/observations/333590315",NA,"199404",NA,"iNaturalist",NA,"Ceratitis capitata (Wiedemann, 1824)","Maite Etchevarne","333590315",NA,NA,"2026-01-05T16:02:40","none","2026-01-05T17:10:34.000+00:00","Maite Etchevarne","maite39","2026/01/05 11:38 AM","Buenos Aires, AR","wild","11:38:00-03:00","746830394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5938624858","Ceratitis capitata (Wiedemann, 1824)",40.745255,14.629106,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d",NA,"997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2026-06-05T18:15:48.952+00:00","2026-06-06T03:43:49.128+00:00",595,"HUMAN_OBSERVATION",NA,"PRESENT","Adult",1626096,1,54,216,811,3520,8776023,1626096,1626096,"Ceratitis capitata (Wiedemann, 1824)","Animalia","Arthropoda","Diptera","Tephritidae","Ceratitis","Ceratitis capitata","Ceratitis","capitata","SPECIES","ACCEPTED",72,"EUROPE","Campania",2026,1,4,"2026-01-04T15:48:43",4,4,"2026-06-06T03:43:49.128+00:00","https://www.inaturalist.org/observations/333445087","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"333445087","none","none",FALSE,NA,"iNaturalist research-grade observations",NA,"none","WGS84","Insecta","IT","none","none","EUROPE","Italy","NORTH_AMERICA","Pierpaolo Giordano","333445087",NA,NA,"595","not_reviewed",NA,NA,NA,"Observations","5938624858","https://www.inaturalist.org/observations/333445087",NA,"199404",NA,"iNaturalist",NA,"Ceratitis capitata (Wiedemann, 1824)","Pierpaolo Giordano","333445087",NA,NA,"2026-01-04T14:49:58",NA,"2026-02-17T05:38:43.000+00:00","Pierpaolo Giordano","piergio","2026-01-04 15:48:43","Grimaldi 165, 84014 Nocera Inferiore SA, Italia","wild","15:48:43+01:00","746398787","{""evidenceOfPresence"":""organism""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5938677868","Ceratitis capitata (Wiedemann, 1824)",35.14455,33.350002,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d",NA,"997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2026-06-05T18:15:48.952+00:00","2026-06-06T03:51:44.361+00:00",595,"HUMAN_OBSERVATION",NA,"PRESENT","Adult",1626096,1,54,216,811,3520,8776023,1626096,1626096,"Ceratitis capitata (Wiedemann, 1824)","Animalia","Arthropoda","Diptera","Tephritidae","Ceratitis","Ceratitis capitata","Ceratitis","capitata","SPECIES","ACCEPTED",7,"ASIA","Nicosia",2026,1,4,"2026-01-04T12:42:29",4,4,"2026-06-06T03:51:44.361+00:00","https://www.inaturalist.org/observations/333423699","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"333423699","none","none",FALSE,NA,"iNaturalist research-grade observations",NA,"none","WGS84","Insecta","CY","none","none","EUROPE","Cyprus","NORTH_AMERICA","seibei","333423699",NA,NA,"595","not_reviewed",NA,NA,NA,"Observations","5938677868","https://www.inaturalist.org/observations/333423699",NA,"199404",NA,"iNaturalist",NA,"Ceratitis capitata (Wiedemann, 1824)","seibei","333423699",NA,NA,"2026-01-04T10:42:43",NA,"2026-01-04T20:47:49.000+00:00","seibei","seibei","Sun Jan 04 2026 12:42:29 GMT +0200 (GMT+2)","Strovolos","wild","12:42:29+02:00","746325879","{""evidenceOfPresence"":""organism""}","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5956848382","Ceratitis capitata (Wiedemann, 1824)",51.03753,3.74493,"osiic","9a0b66df-7535-4f28-9f4e-5bc11b8b096c","4d3ceea8-5699-439d-a899-decac9cbbdac","b153643d-735a-440f-a0e9-428b4f9d1cd2","9f25fd85-85dc-4dcd-a1b4-b31165442e2b","1cd669d0-80ea-11de-a9d0-f1765f95f18b","BE","EML","2026-06-10T12:04:08.876+00:00","2026-06-10T12:11:24.733+00:00",495,"HUMAN_OBSERVATION",1,"PRESENT","Adult",1626096,1,54,216,811,3520,8776023,1626096,1626096,"Ceratitis capitata (Wiedemann, 1824)","Animalia","Arthropoda","Diptera","Tephritidae","Ceratitis","Ceratitis capitata","Ceratitis","capitata","SPECIES","ACCEPTED",999,"EUROPE","East Flanders",2026,1,9,"2026-01-09",9,9,"2026-06-10T12:11:24.733+00:00","https://waarnemingen.be/observation/383780717","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"Natuurpunt:Waarnemingen:383780717","none","none",FALSE,"https://doi.org/10.15468/k2aiak","Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium","casual observation","none","WGS84","Insecta","BE","none","none","EUROPE","Belgium","EUROPE","Natuurpunt Studie","Natuurpunt:Waarnemingen:383780717","see metadata","ICZN","495","not_reviewed","Gent","approved on photographic evidence","en","waarnemingen.be","5956848382","Natuurpunt:Waarnemingen:383780717","Event","https://waarnemingen.be/species/27248","Middellandse Zeeboorvlieg","Natuurpunt","http://www.natuurpunt.be/normen-voor-datagebruik","Ceratitis capitata (Wiedemann, 1824)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
