species,decimalLongitude,decimalLatitude,year,country,gbifID,coordinateUncertaintyInMeters,basisOfRecord
Spodoptera frugiperda,25.48102,14.50574,2013,ZA,890779946,100,HUMAN_OBSERVATION
Spodoptera frugiperda,28.01557,6.50622,2018,KE,734036506,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-15.83878,12.26312,2019,NG,702632297,500,HUMAN_OBSERVATION
Spodoptera frugiperda,30.68933,9.84945,2021,CI,550455977,500,HUMAN_OBSERVATION
Spodoptera frugiperda,12.54622,0.73445,2022,NE,271432881,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,5.13704,18,2012,ET,461415646,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-11.69328,18,2019,GH,146654552,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,18.46351,18,2016,KE,692749116,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,38.39952,-12.55165,2019,ET,856528252,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-14.88394,-11.17755,2013,NE,410727955,100,HUMAN_OBSERVATION
Spodoptera frugiperda,40.16161,12.84286,2017,BF,491735568,500,HUMAN_OBSERVATION
Spodoptera frugiperda,7.17231,-3.73055,2013,BF,386665249,100,HUMAN_OBSERVATION
Spodoptera frugiperda,23.42091,14.22168,2012,CD,507437181,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,49.28759,18,2020,ML,698020238,500,HUMAN_OBSERVATION
Spodoptera frugiperda,28.55377,16.43475,2013,MW,134467368,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,9.27921,-12.32414,2011,ET,709004943,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-3.5414,-19.94165,2020,CD,253407200,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-8.50514,5.12047,2021,CI,678722458,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,32.79694,-9.30422,2015,ET,248532577,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-11.81816,11.90379,2010,MW,217734861,500,HUMAN_OBSERVATION
Spodoptera frugiperda,24.66633,8.28432,2011,CM,509760584,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,17.97978,-7.13133,2018,MW,112327652,100,HUMAN_OBSERVATION
Spodoptera frugiperda,28.35631,-4.20053,2020,TZ,219778234,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,11.56404,2.82351,2017,NG,875340444,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,48.08839,6.07272,2011,MW,771410971,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,39.23352,-9.24551,2018,SN,313579170,500,HUMAN_OBSERVATION
Spodoptera frugiperda,7.42614,18,2018,ZM,100614068,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,15.22519,18,2011,ZM,489747629,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-1.71724,5.89046,2011,KE,885879795,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,37.48958,18,2022,CI,235034324,500,HUMAN_OBSERVATION
Spodoptera frugiperda,26.86306,11.81119,2018,MW,751325257,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,47.57668,2.63682,2018,NE,883757514,500,HUMAN_OBSERVATION
Spodoptera frugiperda,30.48053,-9.42261,2015,CD,655742829,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-9.77171,15.61881,2013,KE,463016614,100,HUMAN_OBSERVATION
Spodoptera frugiperda,22.00499,6.05475,2011,ML,777641645,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-2.43196,13.3979,2010,MW,454794895,100,HUMAN_OBSERVATION
Spodoptera frugiperda,16.96262,2.53812,2018,ZA,876693898,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-1.47619,18,2017,NE,537077308,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-11.58585,-1.07451,2016,CD,882839238,100,HUMAN_OBSERVATION
Spodoptera frugiperda,27.78879,-4.43802,2020,KE,165082363,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,31.51852,6.80432,2013,ET,675832441,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-8.4676,-0.48359,2012,GH,596743109,500,HUMAN_OBSERVATION
Spodoptera frugiperda,41.46504,18,2023,CI,205128697,100,HUMAN_OBSERVATION
Spodoptera frugiperda,26.34585,14.94465,2018,MW,115846122,100,HUMAN_OBSERVATION
